Serving HTTP on 0.0.0.0 port 8000 ...
Traceback (most recent call last):
  File "/usr/lib/python2.7/runpy.py", line 162, in _run_module_as_main
    "__main__", fname, loader, pkg_name)
  File "/usr/lib/python2.7/runpy.py", line 72, in _run_code
    exec code in run_globals
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 220, in <module>
    test()
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 216, in test
    BaseHTTPServer.test(HandlerClass, ServerClass)
  File "/usr/lib/python2.7/BaseHTTPServer.py", line 599, in test
    httpd.serve_forever()
  File "/usr/lib/python2.7/SocketServer.py", line 225, in serve_forever
    r, w, e = select.select([self], [], [], poll_interval)
KeyboardInterrupt
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:31] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:31] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:31] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:31] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:41] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:41] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:41] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:41] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:41] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:41] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:42] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:29] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:29] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:29] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:29] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:29] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:29] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:30] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:42] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:42] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:42] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:42] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:42] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:42] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:43] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:58] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:58] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:58] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:58] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:58] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:58] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:27:59] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:43] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:43] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:43] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:44] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:44] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:44] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:44] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:44] "GET /favicon.ico HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:50] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:50] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:50] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:50] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:50] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:50] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:38:51] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:05] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:05] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:05] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:05] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:05] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:05] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:06] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:31] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:32] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:32] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:32] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:32] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:32] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:39:32] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:41:08] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:42:21] "GET /favicon.ico HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:47] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:48] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:48] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:48] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:48] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:48] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:47:48] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:48:08] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:48:08] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:49:13] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:49:13] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:49:13] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:49:23] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:49:23] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:39] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:39] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:39] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:39] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:39] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:39] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:50:40] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:07] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:08] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:08] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:08] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:08] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:16] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:16] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:16] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:16] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:16] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:51:16] "GET /scripts/app.js HTTP/1.1" 200 -
